id,title
972,"2 killed, 1 injured in Wardak province"
974,"16 police, Arbakis surrender in Dehrawod"
984,"6 killed in Laghman attacks"
985,"Gun battle leaves 4 puppets killed, 5 wounded"
986,"Food packages distributed among needy families"
987,"18 killed, 2 military vehicles destroyed in Khost operation"
989,"Food packages distributed among orphans, widows in Uruzgan"
1007,"Mujahideen distribute food packages among needy families"
1010,"3 police officers killed in Kabul"
1013,"Gun battle leaves 8 minions dead, 6 injured"
1019,"Attacks on combat posts: 16 killed, 20 injured"
1073,"9 killed, 13 in Ghazni attacks"
1203,"13 puppets killed, 21 injured in Ghazni operations"
1213,"Heavy casualties caused as APC, vehicle destroyed in Shinkot"
1232,"Enemy operations end in rout; dozens killed"
1275,"10 Abakis including 3 commanders killed in Shawalikot, equipment seized"
1424,"15 enemy personnel change side to Islamic Emirate"
1444,"Mujahideen kill 6 minions, leave 2 tanks wrecked in country’s east"
1445,"4 civilians martyred, 2 injured in US invaders airstrikes"
1491,"Enemy offensives end in rout in country’s north"
1676,"2 army posts raided in Kunar"
1775,"4 killed in Kabul; army base shelled"
1780,"2 puppets killed, 3 hurt in Khost "
1796,"3 killed, tank destroyed in Wardak province"
1875,"Speech contest takes place in Badghis"
1916,"Commander killed as post overrun in Faryab"
1952,"9 including commander killed as key post overrun in Faryab"
2082,"Arbaki commander killed in Kabul"
2108,"Gunman shot dead by sniper in Murghab"
2162,"4 including commander killed as post overrun in Faryab"
2164,"High rank officer killed in Kandahar ambush"
2389,"Barbaric enemy martyrs 2 civilians, injure 7 in Nangarhar"
2393,"3 killed, equipment seized as post overrun in Kandahar"
2500,"3 policemen surrender to Mujahideen "
2627,"Puppet shot dead in Ghazni "
2759,"Large area cleared as 3 posts overrun in Faryab"
2844,"Enemy installations come under attacks"
2990,"7 killed, post dismantled in Ghazni "
2994,"Large area cleared as 3 posts overrun in Faryab"
3007,"Islamic Emirate calls for meeting to promote education  "
3044,"Islamic Emirate calls for meeting to promote education  "
3055,"Enemy suffers heavy toll in Wardak "
3080,"Many killed, 2 tanks destroyed in Ghazni "
3132,"Key enemy commander killed in Kandahar"
3232,"Enemy posts come under attacks in Kunar  "
3251,"Invader’s armored tank destroyed in Kandahar"
3357,"4 including commander killed as post overrun in Faryab"
3431,"Post comes under attack in Kunar"
3492,"Armored tank destroyed in Kandahar"
3876,"Civilians suffer heavy losses in enemy aggression "
3884,"Several killed in Mujahideen attacks"
3921,"15 enemy military personnel join Mujahideen"
3933,"Motorcycle seized from Arbakis "
3934,"4 enemy soldiers change side to Islamic Emirate "
3939,"Policemen killed, another one injured"
3957,"7 enemy personnel change side to Islamic Emirate"
3972,"Enemy soldier joins Mujahideen"
3985,"18 enemy military personnel join Mujahideen  "
3995,"Truck loaded with 150 bottles of liquor captured"
4003,"Expired drugs disposal ensured in Baghlan"
4005,"Arbaki surrenders himself to Mujahideen"
4011,"26 enemy military personnel join Mujahideen"
4015,"6 enemy soldiers join Mujahideen"
4038,"Magazines, calendars distributed in Wardak "
4042,"Military tank destroyed in Baghlan"
4066,"6 Arbakis join Mujahideen"
4070,"4 enemy military personnel join Mujahideen"
4108,"Colonel join Mujahideen in Nooristan"
4214,"Civilians suffer heavy losses in enemy aggression "
4225,"10 civilians suffer casualties in enemy aggression "
4226,"10 enemy soldiers join Mujahideen"
4231,"Shepherd’s murderer caught in Parwan "
4237,"Sports competition takes place in Shirzad"
4243,"Officer killed in Ghazni"
4260,"2 enemy military personnel join Mujahideen "
4268,"12 killed, 18 injured as enemy repelled in Takhar "
4280,"15 enemy military personnel join Mujahideen"
4281,"4 children martyred, 4 injured in enemy aggression"
4297,"8 enemy military personnel join Mujahideen "
4298,"6 Arbakis taken captives, post taken over"
4312,"Enemy drone crashes in country’s north "
4337,"4 enemy soldiers join Mujahideen"
4338,"14  killed, 7 hurt in southeastern Afghanistan"
4340,"2 civilians martyred, houses, clinic razed"
4342,"23 innocent civilians martyred, 11 injured in enemy aggression "
4374,"Herat, Farah and Surpul: Invitation chain, 16 personnel including commander surrendered"
4375,"Jihadi operations: check post conquest, 35 forces killed, 41 surrendered with enough weapons"
4376,"Liaison Officer and Mujahideen Attacks, Conquests, 41 Killed, Loot"
4377,"Air Force bombing, 15 civilians including children martyred and injured"
4378,"Invitation chain, 15 personnel surrendered with weapons"
4379,"Operations: Victory centers, 20 tanks destroyed, casualties, 10 surrendered"
4380,"Kunduz and Baghlan military atrocities, 3 martyrs including a woman"
4381,"Attacks on centers and caravans, vehicles destroyed, 33 killed, 80 surrendered"
4382,"Rozgan: Mujahideen attack, tanks destroyed, casualties"
4386,"Faryab: Military brutality, a civilian martyr"
4387,"Faryab: Invitation chain, 9 fighters surrender"
4390,"Baghlan, military terror, 3 civilians martyred"
4396,"Spiral: Military brutality, mosque and houses collapsed, 3 women including 4 children injured"
4399,"Military brutality, air and ground attacks, female martyr"
4401,"Helmand and Kandahar: Attacks and explosions, four tanks destroyed, deaths"
4413,"US drone strikes, military brutality, 4 martyrs and wounded"
4414,"Zabul: Puppet air force bomber kills 16 Malmushi"
4415,"Zabul: Armed operation, 2 personnel killed, weapons looted"
4417,"Herat and Farah: Military brutality, 3 civilians including a child martyred"
4419,"Khost, Nangarhar, Logar and Balkh, 13 including commanders killed"
4420,"Kidnapped child rescued, victories, 25 soldiers killed, booty"
4423,"Centers and outposts conquered, 26 killed including officers, tanks looted weapons"
4426,"Helmand, car bomb blast, military base Mohmand, 25 killed"
4429,"Military terror, burning of shops, 4 martyrs including a woman"
4430,"Invitations and attacks of Mujahideen, 43 surrendered, 8 killed"
4431,"Farah, Faryab and Helmand: Invitation chain, 11 forces surrender"
4434,"Convoy attacked: tank destroyed, 16 killed, including commanders"
4435,"Herat: Mujahideen operation, 4 dacoits arrested"
